feature,type,status,platforms,roles,routes,apis,source_file
Workforce - Leave Requests,Workforce,COMPLETE,web | mobile,ALL STAFF | SUPERVISOR | MANAGER,/workforce/leave | /workforce/my-leave,POST /workforce/leave/requests/:id/approve-step1 | POST /workforce/leave/requests/:id/approve-final | POST /workforce/leave/requests/:id/reject,docs/milestones/M10.3-LEAVE-COMPLETION.md
Workforce - Leave Balances,Workforce,COMPLETE,web | mobile,ALL STAFF | MANAGER,/workforce/leave | /workforce/my-leave,Implicit via LeaveBalance,packages/db/prisma/schema.prisma#L1822-L1837
Workforce - Shift Swaps,Workforce,COMPLETE,web | mobile,ALL STAFF | SUPERVISOR,/workforce/swaps | /workforce/my-swaps,GET /workforce/swaps | POST /workforce/swaps | POST /workforce/swaps/:id/accept | POST /workforce/swaps/:id/approve,docs/milestones/M10.4-SWAPS-COMPLETION.md
Workforce - Open Shifts,Workforce,COMPLETE,web | mobile,ALL STAFF | MANAGER,/workforce/open-shifts,GET /workforce/open-shifts | POST /workforce/open-shifts | POST /workforce/open-shifts/:shiftId/claim,packages/db/prisma/schema.prisma#L1868-L1916
Workforce - Availability,Workforce,COMPLETE,web | mobile,ALL STAFF,/workforce/my-availability,GET /workforce/availability | PUT /workforce/availability,packages/db/prisma/schema.prisma#L1918-L1932
Workforce - Pay Periods,Workforce,COMPLETE,web,ACCOUNTANT | MANAGER,/workforce/pay-periods,GET /workforce/pay-periods | POST /workforce/pay-periods/generate | POST /workforce/pay-periods/:id/close,packages/db/prisma/schema.prisma#L1973-L1996
Workforce - Payroll Runs,Workforce,COMPLETE,web,ACCOUNTANT | MANAGER,/workforce/payroll-runs | /workforce/payroll-runs/[id],GET /workforce/payroll-runs | POST /workforce/payroll-runs | POST /workforce/payroll-runs/:id/calculate | POST /workforce/payroll-runs/:id/pay,docs/milestones/M10.5-PAYROLL-COMPLETION.md
Workforce - Payslips,Workforce,COMPLETE,web | mobile,ALL STAFF | ACCOUNTANT,/workforce/payslips | /my-payslips,GET /workforce/payslips | GET /workforce/payslips/:id | GET /workforce/my-payslips,packages/db/prisma/schema.prisma#L2076-L2101
Workforce - Compensation,Workforce,COMPLETE,web,MANAGER | OWNER,/workforce/compensation,GET /workforce/compensation/components | POST /workforce/compensation/components | GET /workforce/compensation/profiles | POST /workforce/compensation/profiles,packages/db/prisma/schema.prisma#L2103-L2148
Workforce - Remittances,Workforce,COMPLETE,web,ACCOUNTANT | OWNER,/workforce/remittances | /workforce/remittances/[id],GET /workforce/remittances | POST /workforce/remittances,packages/db/prisma/schema.prisma#L2164-L2186
Workforce - Labor Reports,Workforce,COMPLETE,web,MANAGER | OWNER,/workforce/labor,GET /workforce/labor/reports,services/api/src/workforce/reports.controller.ts
Workforce - Labor Targets,Workforce,COMPLETE,web,MANAGER | OWNER,/workforce/labor-targets,GET /workforce/labor/targets | POST /workforce/labor/targets,packages/db/prisma/schema.prisma#L2188-L2204
Workforce - Auto Scheduler,Workforce,COMPLETE,web,MANAGER | OWNER,/workforce/auto-scheduler,GET /workforce/auto-scheduler/runs | POST /workforce/auto-scheduler/generate | POST /workforce/auto-scheduler/:runId/apply,docs/milestones/M10.22-AUTO-SCHEDULER-COMPLETION.md
Workforce - Kiosk Devices,Workforce,COMPLETE,web | kiosk,MANAGER,/workforce/kiosk-devices,GET /workforce/kiosk/devices | POST /workforce/kiosk/devices | PATCH /workforce/kiosk/devices/:id | DELETE /workforce/kiosk/devices/:id,packages/db/prisma/schema.prisma#L2226-L2265
Workforce - Geo-Fencing,Workforce,COMPLETE,web | mobile,MANAGER | ALL STAFF,/workforce/geo-fence,GET /workforce/geofence/config | PUT /workforce/geofence/config | POST /workforce/geofence/check | GET /workforce/geofence/events,docs/milestones/M10.21-GEOFENCE-COMPLETION.md
Workforce - Policies,Workforce,COMPLETE,web,MANAGER | OWNER,/workforce/policies,GET /workforce/policy | PUT /workforce/policy,packages/db/prisma/schema.prisma#L2150-L2162
Staff Insights - Waiter Metrics,Analytics,COMPLETE,web,SUPERVISOR | MANAGER,/staff/insights,GET /staff/waiters/metrics | GET /staff/waiters/rankings | GET /staff/waiters/top-performers | GET /staff/waiters/risk-staff,docs/milestones/M19-STAFF-INSIGHTS-COMPLETION.md
Events & Promotions,Events,COMPLETE,web | mobile,EVENT_MANAGER | MANAGER,/events | /events/[id] | /promotions,Implicit via Event/Promotion models,packages/db/prisma/schema.prisma#L740-L827
Feedback - Customer,Feedback,COMPLETE,web | mobile | kiosk,MANAGER | PUBLIC,/feedback,GET /feedback | POST /feedback | GET /feedback/nps-summary,docs/milestones/M20-FEEDBACK-COMPLETION.md
Reports - X & Z Reports,Reporting,COMPLETE,web | desktop,SUPERVISOR | MANAGER,/reports,GET /reports/x | GET /reports/z/:shiftId,services/api/src/reports/reports.controller.ts#L19-L25
Reports - Subscriptions,Reporting,COMPLETE,web,MANAGER | OWNER,/reports/subscriptions,GET /reports/subscriptions | POST /reports/subscriptions,packages/db/prisma/schema.prisma#L2544-L2562
Service Providers,Operations,COMPLETE,web,MANAGER | OWNER,/service-providers | /service-providers/[id],GET /service-providers | POST /service-providers | GET /service-providers/:id | PATCH /service-providers/:id,packages/db/prisma/schema.prisma#L2378-L2398
Documents,Operations,COMPLETE,web,MANAGER | OWNER,/documents,GET /documents | POST /documents,packages/db/prisma/schema.prisma#L2400-L2421
Settings - General,Settings,COMPLETE,web,MANAGER | OWNER,/settings,GET /settings | PUT /settings/currency | PUT /settings/tax-matrix,services/api/src/settings/settings.controller.ts
Analytics - Dashboard,Analytics,COMPLETE,web,ALL,/dashboard | /analytics,Derived from various models,apps/web/src/pages/dashboard.tsx
Real-Time Updates (SSE),Infrastructure,COMPLETE,web | desktop,ALL,/kds | /pos,GET /stream,services/api/src/stream/stream.controller.ts
Idempotency,Infrastructure,COMPLETE,ALL,ALL,ALL POST/PATCH endpoints,Idempotency-Key header support,docs/milestones/M21-IDEMPOTENCY-COMPLETION.md
Observability - Health,Monitoring,COMPLETE,ALL,PUBLIC,INTERNAL,GET /health | GET /ops/health | GET /ops/readiness,services/api/src/health/health.controller.ts
Observability - Metrics,Monitoring,COMPLETE,ALL,PROMETHEUS,INTERNAL,GET /ops/metrics,services/api/src/observability/metrics.controller.ts
Observability - Tracing,Monitoring,COMPLETE,ALL,ALL,ALL,OpenTelemetry instrumentation,services/api/src/main.ts#L40-L60
Observability - Logging,Monitoring,COMPLETE,ALL,ALL,ALL,Pino structured logging,services/api/src/common/logger.service.ts
Webhooks - Payment Providers,Integration,COMPLETE,web,PUBLIC (external),EXTERNAL,POST /webhooks/mtn | POST /webhooks/airtel | POST /webhooks/billing,services/api/src/webhooks.controller.ts
Developer Portal,DevTools,COMPLETE,web,OWNER (API users),/dev,GET /dev,docs/milestones/M14-DEV-PORTAL-COMPLETION.md
